Title,Subtitle,Description,Thumbnail Link,Book Purchase Link,Author,Category,Link
Education and Academics,,"Studying words related to education and academics not only enhances your language proficiency but also proves invaluable in preparing for the IELTS exam. This collection of vocabulary can help you effectively respond to various academic topics, enabling you to excel in the reading and listening sections of the test. Moreover, utilizing precise academic language in the writing and speaking sections demonstrates your command over formal expressions, further boosting your overall IELTS performance.",https://cdn.vocabulary.com/units/735x54ei/feature.png?width=500&v=189ada9c2b0,,,Test-Prep,/lists/735x54ei/ielts-exam-education-and-academics
Fahrenheit 451,,"In Fahrenheit 451, Ray Bradbury imagines a dystopian future in which firemen burn banned books and people are constantly bombarded with mindless entertainment. This classic novel is as powerful and relevant today as it was when it was first published in 1953.",https://cdn.vocabulary.com/units/73tsfezr/cover.jpeg?width=220&v=1813973343c,https://www.amazon.com/dp/1451673310?tag=vocabulary01-20,Ray Bradbury,"Grade 9,Grade 10,Grade 11,Grade 12,Literature",/lists/73tsfezr/fahrenheit-451
The Sky at Our Feet,,"Believing that his mother has been deported to Afghanistan, twelve-year-old Jason runs away to New York City, where he meets Max, a mischievous girl with epilepsy.",https://cdn.vocabulary.com/units/76sspyjg/cover.jpeg?width=220&v=16c300c8b6f,https://www.amazon.com/dp/006242193X?tag=vocabulary01-20,Nadia Hashimi,Literature,/lists/76sspyjg/sky-at-our-feet
Same Sun Here,,"Meena and River, twelve-year-olds from very different backgrounds, become pen pals.",https://cdn.vocabulary.com/units/76x2ix6n/cover.jpeg?width=220&v=17ac40ff404,https://www.amazon.com/dp/0763664510?tag=vocabulary01-20,Silas House,Literature,/lists/76x2ix6n/same-sun-here
My Side of the Mountain,,"Crowded by his parents and eight siblings in a New York City apartment, twelve-year-old Sam Gribley runs away to live by himself on his great-grandfather's abandoned farm in the Catskill Mountains.",https://cdn.vocabulary.com/units/77bkzovc/cover.jpeg?width=220&v=18926588a9e,https://www.amazon.com/dp/0142401110?tag=vocabulary01-20,Jean Craighead George,"Grade 6,Grade 7,Grade 8,Grade 11,Just for Fun",/lists/77bkzovc/my-side-of-the-mountain
What If It's Us,,"Arthur and Ben couldn't be more different. Arthur, a Jewish teenager from Georgia, is in New York City for a summer internship that he hopes will help him get into an Ivy League college. Ben, a native New Yorker of Puerto Rican descent, is attending summer school so that he can avoid repeating 11th grade. Find out what happens when a series of coincidences brings these two together.",https://cdn.vocabulary.com/units/77luls7n/cover.jpeg?width=220&v=16c256949b1,https://www.amazon.com/dp/0062795252?tag=vocabulary01-20,Becky Albertalli,Literature,/lists/77luls7n/what-if-its-us
Circumference,Eratosthenes and the Ancient Quest to Measure the Globe,This nonfiction book recounts the story of how a 245 BCE sea journey from Athens to Alexandria inspired Eratosthenes of Cyrene to contemplate the stars and measure the distance around the earth.,https://cdn.vocabulary.com/units/77omg6g5/cover.png?width=220&v=18631cbc660,https://www.amazon.com/dp/0312372477?tag=vocabulary01-20,Nicholas Nicastro,"Grade 9,Grade 10,Non-Fiction",/lists/77omg6g5/circumference
For Black Girls Like Me,,"A cross-country move, questions about her adoption and origins, and an incident of racism at school all have Makeda wondering where she belongs.",https://cdn.vocabulary.com/units/7billuae/cover.jpeg?width=220&v=16d26e168ae,https://www.amazon.com/dp/0374308047?tag=vocabulary01-20,Mariama J. Lockington,"Literature,Non-Fiction",/lists/7billuae/for-black-girls-like-me
Gone to the Woods,Surviving a Lost Childhood,"In this memoir, Gary Paulsen explores his difficult childhood and details the experiences that led him to write the acclaimed novel Hatchet and its sequels.",https://cdn.vocabulary.com/units/7bm4sfxs/cover.jpeg?width=220&v=17a153c3442,https://www.amazon.com/dp/0374314152?tag=vocabulary01-20,Gary Paulsen,Non-Fiction,/lists/7bm4sfxs/gone-to-the-woods
Crispin: The Cross of Lead,,"After being accused of theft, orphan Crispin is on the run in medieval England. As he crosses the country and evades his enemies, he discovers a startling secret about his true identity.",https://cdn.vocabulary.com/units/7bnkp5uc/cover.jpeg?width=220&v=16e473a14a3,https://www.amazon.com/dp/0786808284?tag=vocabulary01-20,Avi,"Grade 5,Grade 6,Grade 7,Grade 8,Literature",/lists/7bnkp5uc/crispin-the-cross-of-lead
